county_code,county_name,constituency_code,constituency_name,ward_code,ward_name,gid_x,pop2009_x,county_x,subcounty_x,uid_x,scuid_x,cuid_x,gid_y,pop2009_y,county_y,subcounty_y,uid_y,scuid_y,cuid_y,gid_x,pop2009_x,county_x,subcounty_x,uid_x,scuid_x,cuid_x,gid_y,pop2009_y,county_y,subcounty_y,uid_y,scuid_y,cuid_y,gid_x,pop2009_x,county_x,subcounty_x,uid_x,scuid_x,cuid_x,gid_y,pop2009_y,county_y,subcounty_y,uid_y,scuid_y,cuid_y,gid_x,pop2009_x,county_x,subcounty_x,uid_x,scuid_x,cuid_x,gid_y,pop2009_y,county_y,subcounty_y,uid_y,scuid_y,cuid_y,gid_x,pop2009_x,county_x,subcounty_x,uid_x,scuid_x,cuid_x,gid_y,pop2009_y,county_y,subcounty_y,uid_y,scuid_y,cuid_y,gid_x,pop2009_x,county_x,subcounty_x,uid_x,scuid_x,cuid_x,gid_y,pop2009_y,county_y,subcounty_y,uid_y,scuid_y,cuid_y,gid_x,pop2009_x,county_x,subcounty_x,uid_x,scuid_x,cuid_x,gid_y,pop2009_y,county_y,subcounty_y,uid_y,scuid_y,cuid_y,gid_x,pop2009_x,county_x,subcounty_x,uid_x,scuid_x,cuid_x,gid_y,pop2009_y,county_y,subcounty_y,uid_y,scuid_y,cuid_y,gid_x,pop2009_x,county_x,subcounty_x,uid_x,scuid_x,cuid_x,gid_y,pop2009_y,county_y,subcounty_y,uid_y,scuid_y,cuid_y,gid_x,pop2009_x,county_x,subcounty_x,uid_x,scuid_x,cuid_x,gid_y,pop2009_y,county_y,subcounty_y,uid_y,scuid_y,cuid_y,gid_x,pop2009_x,county_x,subcounty_x,uid_x,scuid_x,cuid_x,gid_y,pop2009_y,county_y,subcounty_y,uid_y,scuid_y,cuid_y,gid_x,pop2009_x,county_x,subcounty_x,uid_x,scuid_x,cuid_x,gid_y,pop2009_y,county_y,subcounty_y,uid_y,scuid_y,cuid_y,gid_x,pop2009_x,county_x,subcounty_x,uid_x,scuid_x,cuid_x,gid_y,pop2009_y,county_y,subcounty_y,uid_y,scuid_y,cuid_y,gid_x,pop2009_x,county_x,subcounty_x,uid_x,scuid_x,cuid_x,gid_y,pop2009_y,county_y,subcounty_y,uid_y,scuid_y,cuid_y,gid_x,pop2009_x,county_x,subcounty_x,uid_x,scuid_x,cuid_x,gid_y,pop2009_y,county_y,subcounty_y,uid_y,scuid_y,cuid_y,gid_x,pop2009_x,county_x,subcounty_x,uid_x,scuid_x,cuid_x,gid_y,pop2009_y,county_y,subcounty_y,uid_y,scuid_y,cuid_y,gid_x,pop2009_x,county_x,subcounty_x,uid_x,scuid_x,cuid_x,gid_y,pop2009_y,county_y,subcounty_y,uid_y,scuid_y,cuid_y,gid_x,pop2009_x,county_x,subcounty_x,uid_x,scuid_x,cuid_x,gid_y,pop2009_y,county_y,subcounty_y,uid_y,scuid_y,cuid_y,gid_x,pop2009_x,county_x,subcounty_x,uid_x,scuid_x,cuid_x,gid_y,pop2009_y,county_y,subcounty_y,uid_y,scuid_y,cuid_y,gid_x,pop2009_x,county_x,subcounty_x,uid_x,scuid_x,cuid_x,gid_y,pop2009_y,county_y,subcounty_y,uid_y,scuid_y,cuid_y,gid_x,pop2009_x,county_x,subcounty_x,uid_x,scuid_x,cuid_x,gid_y,pop2009_y,county_y,subcounty_y,uid_y,scuid_y,cuid_y,gid_x,pop2009_x,county_x,subcounty_x,uid_x,scuid_x,cuid_x,gid_y,pop2009_y,county_y,subcounty_y,uid_y,scuid_y,cuid_y,gid_x,pop2009_x,county_x,subcounty_x,uid_x,scuid_x,cuid_x,gid_y,pop2009_y,county_y,subcounty_y,uid_y,scuid_y,cuid_y,gid_x,pop2009_x,county_x,subcounty_x,uid_x,scuid_x,cuid_x,gid_y,pop2009_y,county_y,subcounty_y,uid_y,scuid_y,cuid_y,gid_x,pop2009_x,county_x,subcounty_x,uid_x,scuid_x,cuid_x,gid_y,pop2009_y,county_y,subcounty_y,uid_y,scuid_y,cuid_y,gid_x,pop2009_x,county_x,subcounty_x,uid_x,scuid_x,cuid_x,gid_y,pop2009_y,county_y,subcounty_y,uid_y,scuid_y,cuid_y,gid_x,pop2009_x,county_x,subcounty_x,uid_x,scuid_x,cuid_x,gid_y,pop2009_y,county_y,subcounty_y,uid_y,scuid_y,cuid_y,gid_x,pop2009_x,county_x,subcounty_x,uid_x,scuid_x,cuid_x,gid_y,pop2009_y,county_y,subcounty_y,uid_y,scuid_y,cuid_y,gid_x,pop2009_x,county_x,subcounty_x,uid_x,scuid_x,cuid_x,gid_y,pop2009_y,county_y,subcounty_y,uid_y,scuid_y,cuid_y,gid_x,pop2009_x,county_x,subcounty_x,uid_x,scuid_x,cuid_x,gid_y,pop2009_y,county_y,subcounty_y,uid_y,scuid_y,cuid_y,gid_x,pop2009_x,county_x,subcounty_x,uid_x,scuid_x,cuid_x,gid_y,pop2009_y,county_y,subcounty_y,uid_y,scuid_y,cuid_y,gid_x,pop2009_x,county_x,subcounty_x,uid_x,scuid_x,cuid_x,gid_y,pop2009_y,county_y,subcounty_y,uid_y,scuid_y,cuid_y,gid_x,pop2009_x,county_x,subcounty_x,uid_x,scuid_x,cuid_x,gid_y,pop2009_y,county_y,subcounty_y,uid_y,scuid_y,cuid_y,gid_x,pop2009_x,county_x,subcounty_x,uid_x,scuid_x,cuid_x,gid_y,pop2009_y,county_y,subcounty_y,uid_y,scuid_y,cuid_y,gid_x,pop2009_x,county_x,subcounty_x,uid_x,scuid_x,cuid_x,gid_y,pop2009_y,county_y,subcounty_y,uid_y,scuid_y,cuid_y,gid_x,pop2009_x,county_x,subcounty_x,uid_x,scuid_x,cuid_x,gid_y,pop2009_y,county_y,subcounty_y,uid_y,scuid_y,cuid_y,gid,pop2009,county,subcounty,uid,scuid,cuid
1,mombasa,1,changamwe,1,port reitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,mombasa,1,changamwe,2,kipevu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,mombasa,1,changamwe,3,airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,mombasa,1,changamwe,4,changamwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,mombasa,1,changamwe,5,chaani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,mombasa,2,jomvu,6,jomvu kuu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,mombasa,2,jomvu,7,miritini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,mombasa,2,jomvu,8,mikindani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,mombasa,3,kisauni,9,mjambere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,mombasa,3,kisauni,10,junda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
